Index,Japanese,English,Chinese,Status,Birth,Living,Voice,Source,Note
1,スペシャルウィーク,Special Week,特別週;dak6 bit6 zau1,Confirmed,1995-05-02,0,和氣あず未;わき あずみ,馬會網站;https://web.archive.org/web/20050316173054/https://www.hkjc.com/chinese/special/hkir2001/races/hkir01_hf_wins.asp?race=vase&horse=1,
2,サイレンススズカ,Silence Suzuka,無聲鈴鹿;mou4 sing1 ling4 luk6*2,Confirmed,1994-05-01,0,高野麻里佳;こうの まりか,馬會網站;https://racing.hkjc.com/racing/information/chinese/Horse/OtherHorse.aspx?HorseId=HK_1997_S404,
3,トウカイテイオー,Tokai Teio,東海帝皇;dung1 hoi2 dai3 wong4,Confirmed,1988-04-20,0,Machico;まちこ,馬會網站;https://racing.hkjc.com/racing/information/Chinese/Trainers/TrainerProfile.aspx?TrainerId=YT&Season=Current,因粵語「皇」與「王」字同音，「東海帝王」亦可接受（「王」字作輸入錯誤處理）
4,マルゼンスキー,Maruzensky,丸善斯基;jyun2 sin6 si1 gei1,Unnamed,1974-05-19,0,Lynn;りん,,
5,フジキセキ,Fuji Kiseki,富士奇蹟;fu3 si6 kei4 zik1,Unnamed,1992-04-15,0,松井恵理子;まつい えりこ,,
6,オグリキャップ,Oguri Cap,小栗帽;siu2 leot6 mou6*2,Newspaper,1985-03-27,0,高柳知葉;たかやなぎ ともよ,華僑日報 1990-11-23，頁 17;https://mmis.hkpl.gov.hk/coverpage/-/coverpage/view?p_r_p_-1078056564_c=QF757YsWv59H%2FuxqfBwEJNWFpkoZpl4c,
7,ゴールドシップ,Gold Ship,黃金船;wong4 gam1 syun4,Confirmed,2009-03-06,1,上田瞳;うえだ ひとみ,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20151129/S1/1/form-comment.aspx?para=/20151129/S1/1,
8,ウオッカ,Vodka,伏特加;fuk6 dak6 gaa1,Confirmed,2004-04-04,0,大橋彩香;おおはし あやか,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20170604/S2/1/expert-column.aspx?para=/20170604/S2/1,
9,ダイワスカーレット,Daiwa Scarlet,大和赤驥;daai6 wo4 cek3 kei3,Confirmed,2004-05-13,1,木村千咲;きむら ちさ,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20161225/S1/1/expert-column.aspx?para=/20161225/S1/1,
10,タイキシャトル,Taiki Shuttle,大樹快車;daai6 syu6 faai3 ce1,Confirmed,1994-03-23,0,大坪由佳;おおつぼ ゆか,馬會網站;https://racing.hkjc.com/racing/information/CHinese/Trainers/TrainerProfile.aspx?TrainerId=FK&Season=Previous,
11,グラスワンダー,Grass Wonder,草上飛;cou2 soeng5 fei1,Confirmed,1995-02-18,1,前田玲奈;まえだ れな,馬會網站;https://web.archive.org/web/20050316173054/https://www.hkjc.com/chinese/special/hkir2001/races/hkir01_hf_wins.asp?race=vase&horse=1,有同名本地馬匹
12,ヒシアマゾン,Hishi Amazon,亞馬遜;aa3 maa5 seon3,Confirmed,1991-03-26,0,巽悠衣子;たつみ ゆいこ,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20181111/S1/1/expert-column.aspx,
13,メジロマックイーン,Mejiro Mcqueen,目白麥昆;muk6 baak6 mak6 gwan1,Enquiry,1987-04-03,0,大西沙織;おおにし さおり,華僑日報 1991-11-23，頁 18;https://mmis.hkpl.gov.hk/coverpage/-/coverpage/view?p_r_p_-1078056564_c=QF757YsWv58JCjtBMMIqotgVL3qr5f1w,因有名為「麥昆」之法國馬匹，查詢回答指「目白麥昆」方為正確名稱
14,エルコンドルパサー,El Condor Pasa,神鷹;san4 jing1,Confirmed,1995-03-17,0,髙橋ミナミ;たかはし みなみ,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20121007/S1/6/expert-column.aspx,
15,テイエムオペラオー,TM Opera O,好歌劇;hou2 go1 kek6,Confirmed,1996-03-13,1,徳井青空;とくい そら,馬會網站;https://www.hkjc.com/chinese/special/jc00_formguide.htm,
16,ナリタブライアン,Narita Brian,成田拜仁;sing4 tin4 baai3 jan4,Confirmed,1991-05-03,0,衣川里佳;きぬがわ りか,馬會網站;https://racing.hkjc.com/racing/chinese/racing-info/newhorse.asp?racedate=20180610&raceNo=4&brandNo=B351,
